id,magnitude,liking,value
59,Small,5,1
59,Small,1,1
59,Small,2,1
59,Small,5,1
60,Big,1,3
60,Big,4,3
60,Big,2,3
60,Big,2,3
60,Big,2,4
60,Big,4,4
60,Big,3,4
60,Big,4,4
60,Big,1,5
60,Big,4,5
60,Big,3,5
60,Big,1,5
60,Big,2,1
60,Big,1,1
60,Big,4,1
60,Big,1,1
60,Big,2,2
60,Big,3,2
60,Big,3,2
60,Big,3,2
58,Big,1,4
58,Big,1,4
58,Big,4,4
58,Big,2,4
58,Big,2,5
58,Big,4,5
58,Big,4,5
58,Big,2,5
58,Big,1,1
58,Big,2,1
58,Big,3,1
58,Big,4,1
58,Big,1,2
58,Big,3,2
58,Big,5,2
58,Big,3,2
58,Big,3,3
58,Big,3,3
58,Big,4,3
58,Big,3,3
61,Small,3,1
61,Small,2,1
61,Small,3,1
61,Small,4,1
61,Small,1,2
61,Small,4,2
