id,qg,cond,Liking,Price
R_3fk0U4BfhgbVmsV,11,Liking First,4,3
R_3flp1I2fRho8aGM,2,Liking First,3,1
R_3flp1I2fRho8aGM,3,Liking First,3,1
R_3flp1I2fRho8aGM,4,Liking First,3,1
R_3flp1I2fRho8aGM,5,Liking First,3,1
R_3flp1I2fRho8aGM,6,Liking First,3,1
R_3flp1I2fRho8aGM,7,Liking First,3,1
R_3flp1I2fRho8aGM,8,Liking First,3,1
R_3flp1I2fRho8aGM,9,Liking First,3,1
R_3flp1I2fRho8aGM,10,Liking First,3,1
R_3flp1I2fRho8aGM,11,Liking First,3,1
R_3iVIIsVqdLzSdxN,2,Liking First,3,1
R_3iVIIsVqdLzSdxN,3,Liking First,4,2
R_3iVIIsVqdLzSdxN,4,Liking First,4,2
R_3iVIIsVqdLzSdxN,5,Liking First,4,2
R_3iVIIsVqdLzSdxN,6,Liking First,4,3
R_3iVIIsVqdLzSdxN,7,Liking First,2,1
R_3iVIIsVqdLzSdxN,8,Liking First,3,2
R_3iVIIsVqdLzSdxN,9,Liking First,4,3
R_3iVIIsVqdLzSdxN,10,Liking First,2,1
R_3iVIIsVqdLzSdxN,11,Liking First,2,1
R_3nusEqstYlaKsjN,2,Liking First,4,1
R_3nusEqstYlaKsjN,3,Liking First,5,3
R_3nusEqstYlaKsjN,4,Liking First,5,4
R_3nusEqstYlaKsjN,5,Liking First,4,2
R_3nusEqstYlaKsjN,6,Liking First,4,2
R_3nusEqstYlaKsjN,7,Liking First,3,1
R_3nusEqstYlaKsjN,8,Liking First,3,2
R_3nusEqstYlaKsjN,9,Liking First,3,1
R_3nusEqstYlaKsjN,10,Liking First,5,4
R_3nusEqstYlaKsjN,11,Liking First,5,5
R_3oN2Ck3xexZOk7F,2,Liking First,2,3
R_3oN2Ck3xexZOk7F,3,Liking First,3,3
R_3oN2Ck3xexZOk7F,4,Liking First,4,2
R_3oN2Ck3xexZOk7F,5,Liking First,5,2
R_3oN2Ck3xexZOk7F,6,Liking First,3,1
R_3oN2Ck3xexZOk7F,7,Liking First,5,3
R_3oN2Ck3xexZOk7F,8,Liking First,4,2
R_3oN2Ck3xexZOk7F,9,Liking First,4,2
R_3oN2Ck3xexZOk7F,10,Liking First,4,1
R_3oN2Ck3xexZOk7F,11,Liking First,4,3
R_3qKjTq5hRcnFgW2,2,Liking First,3,2
R_3qKjTq5hRcnFgW2,3,Liking First,4,3
R_3qKjTq5hRcnFgW2,4,Liking First,4,2
R_3qKjTq5hRcnFgW2,5,Liking First,4,4
R_3qKjTq5hRcnFgW2,6,Liking First,3,2
R_3qKjTq5hRcnFgW2,7,Liking First,3,3
R_3qKjTq5hRcnFgW2,8,Liking First,3,2
R_3qKjTq5hRcnFgW2,9,Liking First,4,3
R_3qKjTq5hRcnFgW2,10,Liking First,4,3
R_3qKjTq5hRcnFgW2,11,Liking First,4,3
R_5uP78JaHwXlb2db,2,Liking First,1,1
R_5uP78JaHwXlb2db,3,Liking First,3,1
R_5uP78JaHwXlb2db,4,Liking First,2,1
R_5uP78JaHwXlb2db,5,Liking First,3,1
R_5uP78JaHwXlb2db,6,Liking First,2,1
R_5uP78JaHwXlb2db,7,Liking First,3,1
R_5uP78JaHwXlb2db,8,Liking First,3,1
R_5uP78JaHwXlb2db,9,Liking First,3,2
R_5uP78JaHwXlb2db,10,Liking First,3,1
R_5uP78JaHwXlb2db,11,Liking First,3,1
R_8q9MjYn3NWTWbsZ,2,Liking First,4,2
R_8q9MjYn3NWTWbsZ,3,Liking First,4,3
R_8q9MjYn3NWTWbsZ,4,Liking First,5,4
R_8q9MjYn3NWTWbsZ,5,Liking First,4,3
R_8q9MjYn3NWTWbsZ,6,Liking First,3,2
R_8q9MjYn3NWTWbsZ,7,Liking First,3,2
R_8q9MjYn3NWTWbsZ,8,Liking First,3,2
R_8q9MjYn3NWTWbsZ,9,Liking First,3,2
R_8q9MjYn3NWTWbsZ,10,Liking First,3,2
R_8q9MjYn3NWTWbsZ,11,Liking First,3,2
R_BrDSSa5VtCERhhn,2,Liking First,3,1
R_BrDSSa5VtCERhhn,3,Liking First,3,1
R_BrDSSa5VtCERhhn,4,Liking First,1,1
R_BrDSSa5VtCERhhn,5,Liking First,3,5
R_BrDSSa5VtCERhhn,6,Liking First,4,5
R_BrDSSa5VtCERhhn,7,Liking First,2,1
R_BrDSSa5VtCERhhn,8,Liking First,5,5
R_BrDSSa5VtCERhhn,9,Liking First,4,3
R_BrDSSa5VtCERhhn,10,Liking First,3,2
R_BrDSSa5VtCERhhn,11,Liking First,3,3
R_DHwFFrqRm2s7bMZ,2,Liking First,4,1
R_DHwFFrqRm2s7bMZ,3,Liking First,4,2
R_DHwFFrqRm2s7bMZ,4,Liking First,5,4
R_DHwFFrqRm2s7bMZ,5,Liking First,3,1
R_DHwFFrqRm2s7bMZ,6,Liking First,2,1
R_DHwFFrqRm2s7bMZ,7,Liking First,4,2
R_DHwFFrqRm2s7bMZ,8,Liking First,3,2
R_DHwFFrqRm2s7bMZ,9,Liking First,4,3
